7A2A3AFA	7819DAB5	1999 2004	2004 2005	
7A2A3AFA	80B64BFD	1999 2004	2004 2005	
7E6A0883	02CD0142	1987 1991	
7E6A0883	816CC623	1987 1991	
7E6A0883	85276BDE	1987 1991	
77D963F9	7F434F5F	1980 1982	
7D83CC4B	7EBA51D0	1998 1998	
7D83CC4B	7D932ACE	1998 1999	
7D83CC4B	780B0569	1998 2014	
805A278B	79BC884F	2012 2014	
805A278B	75EEC1CE	2011 2012	2012 2013	2012 2014	2012 2013	2012 2014	
805A278B	810B9059	2012 2013	
805A278B	7EEDF20C	2012 2013	
831137F2	7EFBE6B1	1994 1998	
831137F2	7BF9F2C6	1994 1998	
84EA977C	0056D99D	2001 2001	
84EA977C	78200A39	2001 2001	
84EA977C	7DA9E514	2001 2001	
7D72C92A	847674B3	1992 2010	
7D72C92A	6079B607	1992 2010	
812F3309	7EC15250	2014 2015	
812F3309	7F7E72BB	2014 2015	
75257814	7BD969DD	2008 2014	
75257814	84C15591	2008 2015	
75257814	81AD6191	2008 2015	
75257814	5B766046	2008 2015	
31224E2D	7B46D9F2	2011 2013	
31224E2D	7FF1787B	2011 2013	
7E2FB2C0	B3969877	2011 2015	
7E2FB2C0	6C1EA3CA	2011 2015	
7E2FB2C0	7FA0BCBC	2011 2015	
7DA775AE	7F55EB85	1998 2007	
7E2B433D	7E2B433D	2014 2015	
7E2B433D	801E07D4	2014 2015	
7E2B433D	5869B046	2014 2015	
7E2B433D	C7FA9D43	2014 2015	
7F0F3BB6	17DD376D	1986 1988	
7F0F3BB6	03712938	1986 1990	
7FA5EACA	7F848080	2007 2010	2007 2013	
7FA5EACA	4844CD7A	2007 2011	
7FA5EACA	7A118BAC	2007 2013	2007 2012	2007 2010	2007 2011	2007 2013	
804D839A	7F0A2B49	1986 2011	
804D839A	7F7AF17D	1986 2013	
804D839A	764E2398	1986 2013	
77B16A4C	7F07C9AE	2010 2014	
77B16A4C	7FBF2FD1	2013 2014	
848C036F	79CC12DB	1999 2003	1999 1999	
848C036F	7A327C7D	1999 2002	
848C036F	401C3D11	1999 2003	
848C036F	29E905AA	1999 2002	
7E8223ED	11DDE1C4	1997 2007	
7E8223ED	82C58EE9	1997 2007	
05E27215	2958B1FE	1990 1991	
120F6237	149E278E	2005 2010	
120F6237	8096E0B0	2005 2008	2012 2013	2010 2011	
120F6237	821D3D2C	2012 2014	2012 2014	
120F6237	1A8F0132	2000 2012	
7DF0AB05	7B0817BB	2004 2005	
7DF0AB05	77D60AB1	1992 1998	
7DF0AB05	7C70F97C	1992 2007	
7DF0AB05	053AF322	2000 2000	
76F3D01F	7E3C12DC	1999 2005	
76F3D01F	13BB8307	1999 2005	
76F3D01F	84D053AA	2006 2007	
76F3D01F	79C926C9	2006 2008	
76F3D01F	7D72A6E4	2006 2007	
7E0DE8DC	77F1548E	2008 2013	
7E0DE8DC	129794E3	2008 2010	
7E0DE8DC	145DC605	2008 2013	
80E35857	7D7214C4	2006 2007	
80E35857	4A574861	2006 2008	
80E35857	7E49CA51	2006 2008	
80E35857	28BB7B2F	2006 2007	
7B563370	23809EF1	1986 1998	
7B563370	73233A95	1986 1991	
7B563370	284F3D47	1986 1987	
6C1541C9	78BF4E87	2006 2007	
6C1541C9	7B53D376	2006 2008	
6C1541C9	7E132FB9	2006 2008	
0ADCAA8D	7CE81E80	1999 2014	
0ADCAA8D	7FAAE115	1999 2014	
82C46B08	7DF82620	2010 2011	
82C46B08	8245768F	2010 2011	
82C46B08	4BA89AEE	2010 2011	
81A6089C	82202BD9	2010 2013	
81A6089C	7E8FE6DF	2010 2013	
81A6089C	7EA89821	2010 2013	
13DCFDE3	849D7A25	2006 2008	
13DCFDE3	7D51B978	2006 2008	
13DCFDE3	7F6A1CF0	2004 2006	
4A7C2D7B	7DC9902C	2011 2013	
4A7C2D7B	7D209B8F	2011 2013	
02BB3435	8071E156	2013 2014	
02BB3435	75309207	2013 2014	
02BB3435	7DA775AE	2013 2014	
8571B6E7	7F91C680	1992 1996	
7D91554B	78190DC0	2000 2002	
7D91554B	8132AAE4	2000 2002	
50F1F339	796D908D	2005 2014	
50F1F339	7BE4664A	2005 2014	
50F1F339	28BB7B2F	2005 2007	
50F1F339	7ECC566B	2005 2014	
06AE7810	06AE7810	2008 2008	
1ECEB3EE	7DDD59B1	1993 1994	
1ECEB3EE	2C1B7175	1993 1994	
1048A67C	7675FC38	2002 2002	2002 2002	2000 2002	
1048A67C	1048A67C	2002 2002	2002 2002	2000 2002	
1048A67C	84838BBA	2000 2005	
1048A67C	24024EB3	1993 1997	
85B4D394	85B4D394	1987 1987	
80CAE0DC	7D9C01AE	2002 2006	
80CAE0DC	7DD4BE96	2006 2008	
80CAE0DC	75199417	2002 2006	
80CAE0DC	7D5E89FB	2002 2006	
0DAF02FF	7BDD6246	1992 1993	
0DAF02FF	0DAF02FF	1992 1993	1991 1992	
0DAF02FF	0A45DBD9	1993 1996	
0DAF02FF	2B839493	1993 1994	
7D8E0929	7C135B52	1998 2007	
7D8E0929	81306A4E	1998 2007	
7D8E0929	7F647AEC	1998 2011	
7D8E0929	6FA63B64	1998 2005	
7D8E0929	81EE51E3	1998 2007	
7D8E0929	7FF28BCB	1998 1999	
