7F05DF86	62CB0DF1	1989 1995	
7F3291A5	811B8F8F	2013 2014	
7F3291A5	816EB80E	2013 2014	
7F3291A5	86274245	2013 2014	
7F3291A5	7E57D209	2013 2014	
7F3291A5	82E04689	2013 2014	2013 2014	
7F3291A5	77221471	2013 2014	
7F3291A5	837FA51A	2013 2014	
7F3291A5	7F7E0808	2013 2014	
7F3291A5	7F5AD428	2013 2014	2013 2014	
7D3D096F	404DD313	1998 2004	
7D3D096F	7E57D209	2001 2003	2001 2002	2001 2004	
7D3D096F	0D54077C	1998 2011	
7D3D096F	7E3D8660	1998 2001	
7D3D096F	8173B92C	1998 2010	
7F93D50C	7997AC0D	2004 2009	
7F93D50C	753C6F3A	2004 2015	
7F93D50C	7EE5513B	2004 2006	
7F93D50C	84DF16DC	2004 2006	
7F93D50C	2AE7B5AF	2004 2007	
7F93D50C	0BDB765D	2004 2007	
7F93D50C	826981CF	2004 2006	
7F93D50C	8075880A	2004 2010	
7F93D50C	0DB04C66	2004 2007	
7F93D50C	79F99FAB	2004 2006	
856DA794	AEF71F2C	2014 2016	
856DA794	6D3FED0D	2014 2015	
856DA794	847D321D	2014 2015	
856DA794	7AC66673	2014 2015	
856DA794	7EBF2A9D	2014 2016	
856DA794	802C378E	2014 2015	
856DA794	80F1CE9D	2014 2016	
856DA794	2BBACD26	2014 2016	
856DA794	84BF04DA	2014 2015	
856DA794	84E15747	2014 2015	
856DA794	7DD8A024	2014 2015	
7E91B8FB	04D0687C	2005 2008	
7E91B8FB	84B3A64E	2005 2008	
7E91B8FB	811E9E6D	2005 2007	2005 2006	
7E91B8FB	8584E565	2005 2007	
7E91B8FB	863990C4	2005 2007	2005 2006	
7E91B8FB	82B332F7	2005 2008	
7E91B8FB	751AC7B7	2005 2006	
7E4CC188	7BBCC676	2000 2003	
7E4CC188	765BB63F	2000 2001	
7E4CC188	7EAB9FA4	2000 2003	
7E4CC188	80063B13	2000 2007	
7E4CC188	7C31555E	2000 2003	
7E4CC188	43387DEC	2000 2003	
7E4CC188	7D302AE9	2000 2003	
7E4CC188	0BAEFAC6	2000 2001	
7E4CC188	850C6A5C	2000 2007	
7E4CC188	80BD3F41	2000 2007	
7E4CC188	7F785075	2000 2007	
7E4CC188	7CFC1B95	2000 2003	
7C432D2A	7E44EDD3	2001 2008	
7C432D2A	233480E2	2001 2002	
7C432D2A	0D02BCA6	2001 2004	
7C432D2A	84A25D33	2001 2002	
7C432D2A	8546DE48	2001 2004	
7C432D2A	7F031230	2001 2007	2001 2005	
7C432D2A	127CEB5F	2001 2002	
7C432D2A	802E3D7E	2001 2007	2001 2005	
7C432D2A	7A189148	2001 2009	
7C432D2A	817B8281	2001 2009	
80B2CE5C	80D58ED8	2010 2010	
80B2CE5C	753522E6	2010 2010	
80B2CE5C	7DAE2CD6	2010 2011	
80B2CE5C	77221471	2010 2014	
80B2CE5C	7D82CA42	2010 2010	
80B2CE5C	03B080F4	2010 2013	
80B2CE5C	7F7BC34C	2010 2014	
80B2CE5C	7F60F4B1	2015 2015	2010 2013	
80B2CE5C	76DB405D	2010 2014	
80B2CE5C	78D45BF5	2010 2010	
80B2CE5C	861F6844	2010 2015	
80B2CE5C	7641CCB0	2010 2013	
80B2CE5C	7CF9713E	2010 2010	
0FBDC3D8	8095129C	2012 2015	
0FBDC3D8	789277C2	2012 2013	
0FBDC3D8	8495D5CB	2012 2013	
0FBDC3D8	7A3BD273	2012 2012	
0FBDC3D8	81070114	2012 2015	
0FBDC3D8	6D3FED0D	2012 2015	
0FBDC3D8	7AC7A32B	2012 2013	
0FBDC3D8	7B11B1F4	2012 2013	
0FBDC3D8	84FD1431	2012 2014	
0FBDC3D8	073BC207	2012 2015	2012 2013	
0FBDC3D8	7EBE9361	2012 2013	
0FBDC3D8	4B0A389A	2012 2013	
0FBDC3D8	03A8BC0B	2012 2013	
0FBDC3D8	0D02BCA6	2012 2013	
0FBDC3D8	851BB34A	2012 2015	
0FBDC3D8	7BE05298	2012 2015	
0FBDC3D8	7F65F16B	2012 2013	
0FBDC3D8	802C378E	2012 2015	
0FBDC3D8	848E2FA3	2012 2014	
0FBDC3D8	84E63394	2012 2013	
0FBDC3D8	8499010F	2012 2014	
0FBDC3D8	7BF367B1	2012 2015	
0FBDC3D8	7FA2F4A8	2012 2015	
0FBDC3D8	84B6E39D	2012 2014	
0FBDC3D8	84EA5411	2012 2013	
0FBDC3D8	80A76374	2012 2013	
7E87EB39	7FFDD71E	2004 2006	
7E87EB39	096B1483	2004 2006	
7E87EB39	834F5CFD	2004 2012	
7E87EB39	2CF29FB5	2004 2012	
7E87EB39	7CCEBFE2	2004 2012	
7E87EB39	73F50573	2004 2012	
8418B7AF	7FD27A36	2001 2003	
8418B7AF	7D2EDD6C	2001 2002	
7F3DB73F	80DED6F8	1988 1988	
7F3DB73F	43AE89E0	1988 1988	
7F3DB73F	8138DDF3	1988 1988	
7F3DB73F	82854ABE	1988 1988	
7F3DB73F	800FD29D	1988 1988	
7F3DB73F	768DDE19	1988 1988	
7F3DB73F	7A71DBCD	1988 1988	
7F3DB73F	847DEDF1	1988 1988	
7F3DB73F	0D46B9E5	1988 1988	
84BD6932	84BD6932	2014 2014	2014 2015	
84BD6932	84BCE384	2014 2015	
84BD6932	85101907	2014 2015	
84BD6932	7EC17D8F	2014 2014	
84BD6932	84A8E3F5	2014 2015	
7B9210C5	7D2CFD73	2014 2014	
7B9210C5	116E93F4	2014 2014	
7B9210C5	7E7A7A49	2014 2015	
7B9210C5	7A939360	2014 2014	
7B9210C5	7D7E0ECA	2014 2014	
7B9210C5	11DC90DD	2014 2015	
7B9210C5	7FCAA736	2014 2015	
1475E26E	7CCEBFE2	2009 2011	
1475E26E	2B9D8E01	2006 2007	
1475E26E	778A809D	2009 2010	
1475E26E	7F402939	2009 2010	
1475E26E	771E2668	2009 2010	
1475E26E	01166E1A	2009 2010	2009 2010	
1475E26E	86394EDE	2009 2012	
1475E26E	8002D60F	2009 2012	
1475E26E	6B5E4A3D	2009 2012	
1475E26E	75CC5A50	2009 2013	
80345929	7788AC8C	2002 2002	2002 2002	
80345929	75AE2FAF	2002 2004	
80345929	7514CDBC	2002 2005	
80345929	825D252E	2002 2004	
80345929	7CC884BB	2002 2014	
80345929	7B504DCB	2002 2002	
80345929	7FFF6BA9	2002 2013	
848489FA	7ECB42F0	1998 2000	
848489FA	7BDD31AF	1998 1999	
848489FA	852D9520	1998 2000	
848489FA	62F44805	1998 2006	
848489FA	805BC96F	1998 2000	
848489FA	7D170842	1998 1999	
848489FA	286AB102	1998 2006	
848489FA	750CD34C	1998 2000	
7C01FAB5	75880AE0	2007 2008	
7C01FAB5	80152511	2007 2008	
7C01FAB5	811F7FF4	2002 2009	
7C01FAB5	7ED05CC4	2007 2010	
7C01FAB5	7BF62A7A	2007 2008	
7C01FAB5	854D3B3C	2007 2008	
7C01FAB5	0B56A9C1	2007 2008	
7C01FAB5	80D6A09A	2007 2010	
7C01FAB5	7EFB069D	2007 2008	
7C01FAB5	51D985F7	2007 2010	2007 2009	
7C01FAB5	80E4E3E9	2007 2009	2007 2010	
7C01FAB5	7E100CE1	2007 2008	
7C01FAB5	7E39073B	2007 2008	
7C01FAB5	8095CAA5	2007 2008	2007 2009	
7C01FAB5	76E00E29	2007 2008	
7E45DD1E	7E36E24E	2005 2010	
7E45DD1E	759E2957	2005 2006	
7E45DD1E	7830534A	2005 2010	
7E45DD1E	78F3F1D3	2005 2006	
7E45DD1E	76853592	2005 2012	
7E45DD1E	13AF92B3	2005 2009	
7A16B0AE	85B8428B	2002 2002	
7A16B0AE	7F6D4514	2002 2002	
7A16B0AE	838D8E4E	2002 2002	
80B1DC4A	773E1710	2012 2013	
80DB37DA	77257402	2014 2016	
80DB37DA	7D349525	2014 2014	
80DB37DA	77221471	2013 2014	2013 2014	
80DB37DA	816EB80E	2013 2014	
80DB37DA	78E07B7A	2013 2014	
80DB37DA	7CCEBFE2	2013 2015	
80DB37DA	80EAF538	2013 2014	
80DB37DA	84F86BE8	2013 2014	
80DB37DA	82C14149	2013 2014	
80DB37DA	86189B6B	2013 2015	2013 2014	
80DB37DA	757E13D7	2013 2014	
80DB37DA	813A6EAD	2013 2015	
80DB37DA	84A2AB72	2014 2014	
76EF50FD	7A7BFA17	2004 2009	2004 2010	
76EF50FD	85590694	2004 2007	2005 2007	
76EF50FD	78C02B01	2004 2011	
76EF50FD	84846219	2004 2011	
76EF50FD	7D59933A	2004 2014	
76EF50FD	72BCFF34	2004 2011	
84A91490	0DA6F0BE	2006 2009	
84A91490	7F15D50E	2006 2009	
84A91490	7DEBB0CB	2006 2009	
84A91490	7D741639	2006 2008	
84A91490	799EFB29	2006 2009	
84A91490	796495BF	2006 2008	
82202BD9	7FB87C1F	2006 2007	
860CEA4D	2AAF52EA	1993 1994	1993 1995	
860CEA4D	8107BB6B	1993 1994	1993 1995	
860CEA4D	7592BE8F	1993 1994	
860CEA4D	5F653421	1993 1994	
860CEA4D	7DD017C2	1993 1995	
821346C0	7DB4EE9F	2008 2010	2008 2011	
821346C0	8101B31B	2008 2010	
821346C0	7A17DB88	2008 2011	
821346C0	76475CCE	2008 2012	2008 2013	
821346C0	81080773	2001 2001	
821346C0	84835476	2008 2012	
821346C0	00D940B5	2008 2012	2008 2013	
821346C0	804E647C	2008 2013	
821346C0	773237D2	2008 2008	
821346C0	8037B394	2008 2012	
84D1F207	7FB6FE9D	2013 2015	
84D1F207	84C93993	2013 2014	
84D1F207	8574379C	2013 2015	
84D1F207	75A68B99	2013 2014	
84D1F207	84C0C20E	2013 2015	
84D1F207	84BB9365	2013 2014	
84D1F207	14515217	2013 2014	
8361C27E	80E696E7	2013 2014	
8361C27E	8510912C	2013 2014	2013 2014	
8361C27E	0072B820	2013 2015	2012 2015	
8361C27E	82E04689	2013 2014	2012 2014	
8361C27E	80B6AFF2	2013 2014	
8361C27E	7C41CD12	2013 2015	2012 2015	
8361C27E	7E94A2A7	2013 2014	2012 2014	
8361C27E	85BBD176	2012 2015	
8361C27E	84FE7434	2013 2014	2012 2014	
8361C27E	7F5AD428	2013 2014	2013 2014	2012 2014	2012 2014	
84B6D74F	8631CF6B	2013 2014	
84B6D74F	85B40D78	2013 2014	
84B6D74F	1BBDD3AC	2013 2014	
84B6D74F	7BDD31AF	2013 2014	
84B6D74F	80E881CC	2013 2014	
84B6D74F	85820BD0	2013 2014	
84B6D74F	7EC17D8F	2013 2014	2013 2014	
84B6D74F	76313A5B	2013 2014	
84B6D74F	76850A68	2013 2014	
84B6D74F	7E4E1011	2013 2015	
84B6D74F	7CC884BB	2013 2014	
84B09A2F	826981CF	2006 2006	
84B09A2F	800DEA94	2006 2012	
84B09A2F	84B5FCB2	2006 2012	
84B09A2F	85521C43	2006 2006	
84B09A2F	7DB7E03F	2006 2006	
84B09A2F	035F2B6E	2006 2006	
84B09A2F	8068D0EB	2006 2012	
84B09A2F	8075880A	2006 2010	
84B09A2F	7ED19369	2006 2006	
84B09A2F	7ED99359	2006 2006	
84B09A2F	84E36323	2006 2012	
84B09A2F	80F8A78F	2006 2012	
7D049A58	75405165	1987 1991	
7D049A58	0230A344	1987 1991	
75CEE20C	7D1A076D	1988 1988	
75CEE20C	80DED6F8	1988 1988	
75CEE20C	7DDE6CC8	1988 1988	
75CEE20C	84C612A7	1988 1988	
75CEE20C	8325667A	1988 1988	
75CEE20C	8138DDF3	1988 1988	
75CEE20C	7D08D9D0	1988 1988	
75CEE20C	847DEDF1	1988 1988	
75CEE20C	76A2965A	1988 1988	
75CEE20C	7A71DBCD	1988 1988	
62CB0DF1	1696D5FA	1995 1997	1996 1997	
62CB0DF1	813A5F02	1995 1997	1996 1997	
62CB0DF1	80F7AFD3	1995 1997	1996 1997	
80D650BC	37A31AE5	1983 1988	1983 1985	1983 1988	
77151CB6	7DB8985D	2007 2008	
77151CB6	7575972F	2007 2008	
77151CB6	7D33EF8B	2007 2008	
811E9E6D	04D0687C	2006 2008	
811E9E6D	80466E5E	2001 2004	2003 2004	
811E9E6D	811E9E6D	2001 2013	
811E9E6D	84B3A64E	2006 2008	
811E9E6D	7F20BD13	2001 2004	2003 2004	
811E9E6D	2B04780B	2001 2013	
811E9E6D	7712B7D9	2006 2009	
811E9E6D	7D3D096F	2001 2004	2003 2004	
811E9E6D	045350AF	2001 2013	
813390F7	84C6329D	2014 2015	
813390F7	77E9A65B	2014 2014	
813390F7	8500E248	2014 2014	
813390F7	84C1CDEB	2014 2015	
813390F7	849E76FE	2014 2015	
813390F7	802F3122	2014 2014	
813390F7	069C1D2D	2014 2015	
0D02BCA6	7F6A1BBA	2010 2011	2010 2010	2007 2010	2008 2010	2008 2011	2008 2010	2008 2010	2008 2010	2008 2010	2008 2010	2008 2010	2008 2010	2008 2011	2010 2010	
0D02BCA6	76CB073D	2008 2013	
0D02BCA6	515B2CB2	2008 2013	
0D02BCA6	7E3F25E5	2008 2010	
0D02BCA6	792EF370	2008 2013	
0D02BCA6	7ED05CC4	2008 2010	
0D02BCA6	7BEF2FB9	2007 2008	
0D02BCA6	7E66D30F	2004 2005	2008 2013	2012 2014	2012 2013	
0D02BCA6	79908166	2010 2014	2008 2011	
0D02BCA6	7DB082EB	2004 2010	
0D02BCA6	80F9E908	2007 2014	
0D02BCA6	8496837A	2008 2015	
0D02BCA6	7F60A74C	2004 2008	
84C86DAD	7CEE615D	2005 2007	
84C86DAD	0047CF30	2005 2007	
84C86DAD	80AFBC1C	2005 2007	
84C86DAD	03E2FF6E	2005 2007	
7F535E45	84C59BA3	2010 2012	
7F535E45	8091C9FA	2010 2012	
7F535E45	7F6A1BBA	2010 2010	
7F535E45	7F535E45	2010 2010	
7F535E45	8361C27E	2010 2013	2010 2012	
7F535E45	7ED1C6C5	2010 2013	2010 2012	
7F535E45	8111CA0E	2010 2010	
7F535E45	84C48054	2010 2013	
7F535E45	7D66F0DC	2010 2013	
7F535E45	813C6809	2010 2010	
7F535E45	0D02BCA6	2010 2010	
0F4B4C0F	84FAF4D9	2011 2015	
0F4B4C0F	3BF2B353	2011 2015	
0F4B4C0F	795F7D7D	2011 2015	
0F4B4C0F	80B6AFF2	2011 2015	
0F4B4C0F	84A23D68	2011 2015	
0F4B4C0F	7FB2188D	2011 2012	
80DE4834	00862132	2006 2007	
7DF6063C	75133DFE	2012 2015	
7DF6063C	860BE412	2012 2015	
04623046	757632F7	2010 2011	
04623046	7BB46344	2010 2011	
04623046	80197B9A	2010 2011	
04623046	7D72091E	2010 2011	
7DF6AD88	84F05FC6	1971 1973	
7DF6AD88	84AD6855	1971 1973	
7DF6AD88	84D71EE4	1971 1973	
7FBA809A	81535721	2015 2016	
7FBA809A	13FCB45D	2015 2016	
7FBA809A	7ACE5E6B	2015 2016	
7FBA809A	797D81C6	2015 2016	
7FBA809A	017E7DC0	2015 2016	
771E2668	752F731A	1996 2016	
771E2668	81678915	2009 2010	2009 2010	
771E2668	13195426	2008 2015	
771E2668	7EB05117	2008 2012	
771E2668	8039481B	2001 2008	2008 2015	
771E2668	11DC90DD	2014 2015	
771E2668	7EFE5501	2008 2010	
771E2668	850AF979	2008 2013	2008 2015	
7EE086B7	801DFD87	2014 2015	
7EE086B7	7E4F936F	2014 2015	
7EE086B7	773405A0	2014 2015	
7DD16A7E	80E7C369	2009 2014	
7DD16A7E	7BC7E978	2009 2014	
7DD16A7E	82B332F7	2009 2013	
7DD16A7E	629E0F66	2009 2013	
7DD16A7E	7D6333FB	2009 2013	
7DD16A7E	7C7EE0D1	2009 2010	
7DD16A7E	0E1EFC30	2009 2013	
7DD16A7E	7E4E1011	2009 2014	
7DD16A7E	80152511	2009 2010	
85870F80	29AF08FF	2009 2013	2009 2011	2009 2014	
85870F80	85497251	2009 2010	
85870F80	7C056608	2009 2012	
85870F80	7889BF46	2009 2013	2009 2014	
85870F80	77EF2D57	2009 2013	
85870F80	2A517562	2009 2010	
85870F80	1455D39D	2009 2013	
85870F80	14B6AC28	2009 2010	
85870F80	78B7D188	2009 2013	
85870F80	803119D5	2009 2013	
85870F80	2B9D8E01	2009 2013	
85870F80	79D294F2	2009 2013	
85870F80	70588ECB	2009 2013	
85870F80	776A638D	2009 2012	
00D940B5	85B6EB4F	2012 2014	
00D940B5	7F802F3D	2012 2014	
00D940B5	81535721	2013 2014	
00D940B5	00D940B5	2012 2013	2012 2013	
00D940B5	3048BC22	2012 2014	
00D940B5	848701E4	2013 2015	
00D940B5	7D55D2F1	2013 2015	
00D940B5	7B6E457A	2012 2013	2012 2013	
00D940B5	7D9D3B77	2012 2013	2012 2013	
82495E59	7876F595	2009 2011	
82495E59	84ACF574	2009 2012	
82495E59	80984AA3	2009 2012	
82495E59	8173B92C	2009 2010	
82495E59	7F60946D	2009 2012	
82495E59	81212FE4	2009 2012	
82495E59	817600F9	2009 2010	
82495E59	7C857356	2009 2011	
68B39A99	68B39A99	2008 2010	
68B39A99	7FA2E9AB	2008 2010	
7D8E3141	6B14E95B	2006 2012	2006 2012	2011 2012	
80D58ED8	80D94FB0	2005 2006	2004 2006	
80D58ED8	000C8F7B	2006 2008	
80D58ED8	7AFA95D8	2008 2015	
80D58ED8	7DA920D7	1999 2006	
80D58ED8	858F9FB6	2008 2010	
80D58ED8	8095CAA5	2008 2009	
80D58ED8	7F618014	2011 2015	
80D58ED8	76230F36	2015 2016	2014 2016	
80D58ED8	82CB181E	2008 2012	2007 2012	2007 2013	2004 2012	
